page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,800000,7500,Michigan,"Unlike Trump, who is running to have unchecked power, Kamala Harris fights for the people. The choice could not be more clear this November.",kamalaharris.com,,,HARRIS FOR PRESIDENT,106.6666667
Kamala Harris,762499.5,7148.5,Michigan,"Kamala Harris has a plan to allow Medicare to cover the cost of long-term at home care. For those who are taking care of aging parents, this will be a game-changer.",kamalaharris.com,,This will be a game-changer,HARRIS FOR PRESIDENT,106.6656641
Kamala Harris,350000,3300,Michigan,"It’s clear: Project 2025 is Trump’s agenda, written by his close allies, for him to inflict on our country.",kamalaharris.com,,,HARRIS FOR PRESIDENT,106.0606061
Kamala Harris,95000,900,Michigan,Donald Trump and JD Vance’s Project 2025 is a threat to reproductive freedom in all 50 states. Electing Vice President Harris is crucial to restoring and protecting reproductive freedom.,kamalaharris.com,,,HARRIS FOR PRESIDENT,105.5555556
Kamala Harris,950000,9000,Michigan,"Trump’s Project 2025 agenda would give him complete, total power.",kamalaharris.com,,,HARRIS FOR PRESIDENT,105.5555556
Kamala Harris,174000,1648.5,Michigan,"My plan will give $25,000 to first time homebuyers, which will unlock the American dream for Black families excluded from its promise.",kamalaharris.com,,,HARRIS FOR PRESIDENT,105.5505005
Kamala Harris,150499.5,1449.5,Michigan,Donald Trump is working hard for himself and his billionaire buddies. He doesn’t care about regular people at all.,kamalaharris.com,,,HARRIS FOR PRESIDENT,103.8285616
Kamala Harris,435000,4200,Michigan,More than one in three women of reproductive age live in a state with a Trump Abortion Ban. Kamala Harris is fighting for EVERY woman in America to have access to reproductive health care.,kamalaharris.com,,,HARRIS FOR PRESIDENT,103.5714286
Kamala Harris,51498.5,498,Michigan,"Nobody should have to go to jail for smoking weed. As president, Kamala Harris will legalize marijuana nationwide.",kamalaharris.com,,,HARRIS FOR PRESIDENT,103.4106426
Kamala Harris,217000,2099,Michigan,"Vice President Kamala Harris said: “America, the path that led me here in recent weeks was no doubt unexpected. But I’m no stranger to unlikely journeys. My mother, Shyamala Harris, had one of her own. I miss her every day — especially now.”",nytimes.com,"The definitional power of parenthood has been an unofficial theme of the Democratic convention this week. And Shyamala Gopalan Harris, the vice president’s mother, is a main character.","Harris Leans on Memory of Her Mother, as She Reintroduces Herself",HARRIS FOR PRESIDENT,103.3825631
Kamala Harris,1700000,16500,Michigan,"As President, Kamala Harris will work to lower the cost of food and housing – because you work hard for your paycheck, and you should get to keep more of it.",kamalaharris.com,,,HARRIS FOR PRESIDENT,103.030303
Kamala Harris,380000,3749.5,Michigan,"As president, Trump would repeal the Affordable Care Act, leaving millions of Black Americans without health insurance.",kamalaharris.com,,,HARRIS FOR PRESIDENT,101.3468462
Kamala Harris,668499.5,6598,Michigan,Project 2025 is a direct attack on the middle class. We deserve more than what Donald Trump and his extremist friends are plotting for our country.,kamalaharris.com,,Project 2025 hurts the middle class,HARRIS FOR PRESIDENT,101.3185056
Kamala Harris,283000,2798,Michigan,Donald Trump bragged about overturning Roe v. Wade and said there should be “some form of punishment” for women who have an abortion.,kamalaharris.com,,,HARRIS FOR PRESIDENT,101.1436741
Kamala Harris,10000,99,Michigan,"Trump is only out for himself. His Project 2025 agenda would give him total, virtually unchecked power to control our daily lives and strip away our freedoms.",kamalaharris.com,,,HARRIS FOR PRESIDENT,101.010101
Kamala Harris,660000,6549.5,Michigan,Banning abortion nationwide and monitoring women’s pregnancies? That’s exactly what Trump’s Project 2025 agenda calls for.,kamalaharris.com,,,HARRIS FOR PRESIDENT,100.7710512
Kamala Harris,3261997,32397,Michigan,Former Trump staffers know exactly what will happen if Trump is reelected: he’ll place America’s national security at risk. We can’t let that happen.,kamalaharris.com,,Trump is unfit to serve,HARRIS FOR PRESIDENT,100.6882427
Kamala Harris,2069000,20649.5,Michigan,Kamala Harris took on Big Pharma's price gouging and won. Our elders can count on her leadership in the White House.,kamalaharris.com,"Together, we can finish the job for the American people. Are you with us? Join our campaign to elect Kamala Harris today!",Cutting costs for seniors,HARRIS FOR PRESIDENT,100.1961307
Kamala Harris,55000,549.5,Michigan,"Donald Trump said it best: He doesn’t care about you. Meanwhile, Vice President Harris has always fought for middle class families.",kamalaharris.com,,,HARRIS FOR PRESIDENT,100.0909918
Kamala Harris,70000,700,Michigan,"Donald Trump is unchecked, unhinged, and unstable. We’re not going back.",kamalaharris.com,,Let’s turn the page,HARRIS FOR PRESIDENT,100
Kamala Harris,400000,4000,Michigan,"In 2016, Jill Stein helped Trump win battleground states. Now, she’s trying to do it again and was just endorsed by former KKK leader, David Duke.",kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",Don’t let history repeat itself,HARRIS FOR PRESIDENT,100
Kamala Harris,60000,600,Michigan,"It’s clear Donald Trump doesn’t have a plan for you. But I do. As president, I will cut taxes for 100 million Americans.",kamalaharris.com,,,HARRIS FOR PRESIDENT,100
Kamala Harris,200000,2000,Michigan,"Kamala Harris has proudly earned the endorsement of leaders in the Muslim community, including over 60+ imams.",kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",Support for Kamala Harris is growing,HARRIS FOR PRESIDENT,100
Kamala Harris,1550000,15500,Michigan,Kamala Harris will bring us together. She knows America needs a President that’s focused on our needs.,kamalaharris.com,,,HARRIS FOR PRESIDENT,100
Kamala Harris,40000,400,Michigan,"Project 2025 facts: Jeopardize overtime pay, ban abortion nationwide, and give Trump virtually unchecked power.",www.kamalaharris.com,,,HARRIS FOR PRESIDENT,100
Kamala Harris,50000,500,Michigan,Vice President Harris is taking action to help the people of Lebanon.,kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",VP Harris is taking action to help the people of Lebanon,HARRIS FOR PRESIDENT,100
Kamala Harris,208499.5,2095,Michigan,,kamalaharris.com,"Vice President Kamala Harris has devoted her career to fighting for the people. As the daughter of parents who brought her to civil rights marches in a stroller, she was inspired to tackle injustice from an early age. She took that mission to county courtrooms, the California Attorney General’s of...",Kamala Harris - Kamala Harris for President: Official Campaign Website,HARRIS FOR PRESIDENT,99.52243437
Kamala Harris,1650000,16800,Michigan,Take it from Mark Cuban: Kamala Harris’ economic plan will support businesses and startups.,kamalaharris.com,,,HARRIS FOR PRESIDENT,98.21428571
Kamala Harris,206000,2100,Michigan,Trump doesn’t know what regular working people are dealing with every day. He doesn’t get it. Kamala Harris gets it.,kamalaharris.com,,,HARRIS FOR PRESIDENT,98.0952381
Kamala Harris,151000,1549.5,Michigan,Vice President Harris is taking action to help the people of Lebanon.,kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",VP Harris is taking action,HARRIS FOR PRESIDENT,97.45079058
Kamala Harris,1510000,15499,Michigan,"While Donald Trump is fighting for the ultra-rich, Kamala Harris is fighting for the middle class.",kamalaharris.com,,,HARRIS FOR PRESIDENT,97.42564036
Kamala Harris,990000,10200,Michigan,Trump only cares about lowering costs for his billionaire friends. Kamala Harris cares about lowering costs for YOU.,kamalaharris.com,,,HARRIS FOR PRESIDENT,97.05882353
Kamala Harris,232000,2399,Michigan,"Trump wants to ban abortion nationwide. This negatively impacts everyone, not just women.",kamalaharris.com,,Trump Is Taking Rights Away,HARRIS FOR PRESIDENT,96.70696123
Kamala Harris,2900000,30000,Michigan,Kamala Harris will bring us together. She knows America needs a President that’s focused on our needs.,kamalaharris.com,,America does not need division,HARRIS FOR PRESIDENT,96.66666667
Kamala Harris,1075000,11200,Michigan,"Former Trump staffers know exactly what will happen if Trump is reelected: he’ll enact his extreme, Project 2025 agenda. We can’t let that happen.",kamalaharris.com,,,HARRIS FOR PRESIDENT,95.98214286
Kamala Harris,469498.5,4894,Michigan,The former president incites hate. We are working to combat hate.,kamalaharris.com,"Together, we can finish the job for the American people. Are you with us? Join our campaign to elect Kamala Harris today!",Reject hate,HARRIS FOR PRESIDENT,95.93348999
Kamala Harris,1435000,15000,Michigan,"If it were up to Donald Trump, he would end the Affordable Care Act and rip away health care from millions of people. We simply can’t let that happen.",kamalaharris.com,,Our health care is on the line,HARRIS FOR PRESIDENT,95.66666667
Kamala Harris,2050000,21500,Michigan,"As President, Kamala Harris will work to lower the cost of food and housing – because you work hard for your paycheck, and you should get to keep more of it.",kamalaharris.com,,Kamala Harris will lower costs,HARRIS FOR PRESIDENT,95.34883721
Kamala Harris,810000,8500,Michigan,"Families are working hard to make ends meet, while large corporations have been raking in record profits. That’s why Kamala Harris has a plan to go after bad actors who rip off consumers and bring down costs.",kamalaharris.com,,,HARRIS FOR PRESIDENT,95.29411765
Kamala Harris,570000,6000,Michigan,"Vice President Harris’ mother immigrated to the U.S. from India, was a “world-renowned scientist” and civil rights activist, and inspired Harris to fight for the people.",townandcountrymag.com,"You can’t know who Kamala Harris is without knowing who our mother was, Kamala's sister once said.","Kamala Harris's Mother, Shyamala Gopalan Harris, Taught Her Daughters Resilience",HARRIS FOR PRESIDENT,95
Kamala Harris,1600000,16900,Michigan,"After a violation of their bodies, survivors of rape and incest are being told they cannot make decisions about what happens to them next—all because of Trump Abortion Bans.",kamalaharris.com,,Trump took away reproductive freedom,HARRIS FOR PRESIDENT,94.67455621
Kamala Harris,437997,4638.5,Michigan,,kamalaharris.com,"Together, we can finish the job for the American people. Are you with us? Join our campaign to elect Kamala Harris today!",Meet Vice President Kamala Harris - Kamala Harris for President: Official Campaign Website,HARRIS FOR PRESIDENT,94.42643096
Kamala Harris,2215000,23500,Michigan,"Raised by a working mom in a middle class neighborhood, Vice President Harris will always be a fearless fighter for the people.",kamalaharris.com,,,HARRIS FOR PRESIDENT,94.25531915
Kamala Harris,37499.5,398,Michigan,"Trump wants to ban abortion nationwide. This negatively impacts everyone, not just women.",kamalaharris.com,,,HARRIS FOR PRESIDENT,94.21984925
Kamala Harris,80000,849.5,Michigan,There’s no question: Kamala Harris is the only candidate who fights for you.,kamalaharris.com,,Kamala Harris is fighting for you,HARRIS FOR PRESIDENT,94.17304297
Kamala Harris,1130000,12000,Michigan,"Trump has tried time and time again to get rid of or weaken the Affordable Care Act. It’s time to preserve progress, not undo it.",kamalaharris.com,,Trump will get rid of the ACA,HARRIS FOR PRESIDENT,94.16666667
Kamala Harris,620000,6600,Michigan,Trump has made it clear: He has no respect for autoworkers.,kamalaharris.com,,We’ve had enough,HARRIS FOR PRESIDENT,93.93939394
Kamala Harris,14000,149.5,Michigan,"Trump’s economic plan includes a 20% tax on everyday basic necessities that will cost the average family nearly $4,000 more a year. Vice President Harris’ plan will cut taxes for the middle class.",kamalaharris.com,,Trump will increase costs,HARRIS FOR PRESIDENT,93.64548495
Kamala Harris,195498.5,2091,Michigan,Donald Trump’s racist rhetoric drove an increase in anti-Asian violence. He doesn’t care about us. That’s why we must defeat him at the ballot box in November.,kamalaharris.com,,Trump’s hate puts us at risk,HARRIS FOR PRESIDENT,93.4952176
Kamala Harris,1105000,11849.5,Michigan,Kamala Harris is fighting for a better future. Donald Trump is fighting for himself.,kamalaharris.com,,We are not going back,HARRIS FOR PRESIDENT,93.25287987
Kamala Harris,171999,1848.5,Michigan,"Nobody should have to go to jail for smoking weed. As president, Kamala Harris will legalize marijuana nationwide.",kamalaharris.com,,Nobody should go to jail for smoking weed,HARRIS FOR PRESIDENT,93.04787666
